"Kresge Court at Detroit Institute of Arts","American (New)",4.5
"Fisher Building","Landmarks & Historical Buildings",4.5
"Trinosophes","Coffee & Tea",4
"Trinosophes","Cafes",4
"Vivio's Food & Spirits","Sports Bars",3.5
"Momo Cha","Himalayan/Nepalese",4.5
"Vivio's Food & Spirits","American (Traditional)",3.5
"Xochimilco Restaurant","Mexican",3
"The Congregation Detroit","Coffee & Tea",4.5
"The Congregation Detroit","Cafes",4.5
"Senor Lopez Mexican Restaurant","Mexican",4
"The Congregation Detroit","Cocktail Bars",4.5
"Slows To Go","Barbeque",3.5
"Slows To Go","Caterers",3.5
"Slows To Go","Food Trucks",3.5
"Beyond Juicery + Eatery","Juice Bars & Smoothies",4
"Beyond Juicery + Eatery","Salad",4
"One-Eyed Betty's Beer Bar & Kitchen","Bars",4
"Beyond Juicery + Eatery","Sandwiches",4
"One-Eyed Betty's Beer Bar & Kitchen","American (Traditional)",4
"Treat Dreams","Desserts",4
"Treat Dreams","Ice Cream & Frozen Yogurt",4
"Golden Fleece Restaurant","Greek",3.5
"Golden Fleece Restaurant","Mediterranean",3.5
"Golden Fleece Restaurant","Seafood",3.5
"-320 Coffee & Creamery","Coffee & Tea",4.5
"-320 Coffee & Creamery","Desserts",4.5
"-320 Coffee & Creamery","Ice Cream & Frozen Yogurt",4.5
"The Rattlesnake Club","Venues & Event Spaces",3.5
"The Rattlesnake Club","Seafood",3.5
"The Rattlesnake Club","Steakhouses",3.5
"Milano Bakery","Bakeries",4
"Milano Bakery","Cafes",4
"Milano Bakery","Soup",4
"Faygo Beverages","Local Flavor",4.5
"Sheila's Bakery","Pizza",4.5
"Sheila's Bakery","Bakeries",4.5
"Checker Bar","Bars",4
"Checker Bar","American (Traditional)",4
"Checker Bar","Burgers",4
"Mexicantown Bakery","Bakeries",4
"Ham Shop Cafe","Diners",4
"Mexicantown Bakery","Cupcakes",4
"Ham Shop Cafe","Mediterranean",4
"Bash Original Izakaya","Sushi Bars",4.5
"Bash Original Izakaya","Izakaya",4.5
"The Potato Place","American (Traditional)",4
"The Potato Place","Ice Cream & Frozen Yogurt",4
"Second Best Detroit","Bars",4
"Second Best Detroit","American (Traditional)",4
"Los Altos Restaurant","Mexican",4
"Ernie's Market","Sandwiches",4.5
"Ernie's Market","Delis",4.5
"Ernie's Market","Grocery",4.5
"Pewabic","Art Galleries",4.5
"Pewabic","Art Classes",4.5
"Pewabic","Museums",4.5
"Blimpie","Sandwiches",4.5
"Northern Lights Lounge","Lounges",3.5
"Caucus Club","Steakhouses",4
"Caucus Club","Salad",4
"Caucus Club","Cocktail Bars",4
"Traffic Jam & Snug","American (Traditional)",3
"Traffic Jam & Snug","Beer Bar",3
"Zeff's Coney Island Restaurant","Diners",4
"Zeff's Coney Island Restaurant","Hot Dogs",4
"Zeff's Coney Island Restaurant","American (New)",4
"Two Way Inn","Dive Bars",4.5
"Brass Rail Pizza Bar","Pizza",4
"Brass Rail Pizza Bar","Beer Bar",4
"Brass Rail Pizza Bar","Sandwiches",4
"The Dakota Inn Rathskeller","German",4
"Bai Mai Thai","Thai",3.5
"Sala Thai","Thai",3.5
"Smith & Co","American (New)",4
"Calexico - Detroit","Mexican",3
"Poke Poke - Sushi Unrolled","Poke",4.5
"Poke Poke - Sushi Unrolled","Sushi Bars",4.5
"Park Bar","Dive Bars",4
"Park Bar","Cocktail Bars",4
